STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,LOCATION,Country,INDICATOR,Indicator,SUBJECT,Subject,MEASURE,Measure,FREQUENCY,Frequency,TIME_PERIOD,Time,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of Measures,UNIT_MULT,Multiplier,BASE_PER,Base reference period
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CAN,Canada,EXPBSNS,Exports by business size,10_49_EMPLOYEE,10-49 employees,MLN_USD,Million US dollars,A,Annual,2022,,55379.9,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CAN,Canada,EXPBSNS,Exports by business size,10_49_EMPLOYEE,10-49 employees,MLN_USD,Million US dollars,A,Annual,2005,,29168.7,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,MKD,North Macedonia,EXPBSNS,Exports by business size,50_249_EMPLOYEE,50-249 employees,MLN_USD,Million US dollars,A,Annual,2021,,1033.15,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,BIH,Bosnia and Herzegovina,EXPBSNS,Exports by business size,50_249_EMPLOYEE,50-249 employees,MLN_USD,Million US dollars,A,Annual,2021,,2722.15,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,BIH,Bosnia and Herzegovina,EXPBSNS,Exports by business size,ALLSIZE,All sizes,MLN_USD,Million US dollars,A,Annual,2021,,8628.85,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,LTU,Lithuania,EXPBSNS,Exports by business size,0_9_EMPLOYEE,0-9 employees,MLN_USD,Million US dollars,A,Annual,2021,,3619.18,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,EST,Estonia,EXPBSNS,Exports by business size,10_49_EMPLOYEE,10-49 employees,MLN_USD,Million US dollars,A,Annual,2021,,3479.18,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,LUX,Luxembourg,EXPBSNS,Exports by business size,50_249_EMPLOYEE,50-249 employees,MLN_USD,Million US dollars,A,Annual,2021,,3720.46,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,NLD,Netherlands,EXPBSNS,Exports by business size,50_249_EMPLOYEE,50-249 employees,MLN_USD,Million US dollars,A,Annual,2021,,169719,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ITA,Italy,EXPBSNS,Exports by business size,50_249_EMPLOYEE,50-249 employees,MLN_USD,Million US dollars,A,Annual,2021,,170279,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,HUN,Hungary,EXPBSNS,Exports by business size,250MORE_EMPLOYEE,250 or more employees,MLN_USD,Million US dollars,A,Annual,2021,,73381.1,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,FIN,Finland,EXPBSNS,Exports by business size,250MORE_EMPLOYEE,250 or more employees,MLN_USD,Million US dollars,A,Annual,2021,,51471.3,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CZE,Czechia,EXPBSNS,Exports by business size,10_49_EMPLOYEE,10-49 employees,MLN_USD,Million US dollars,A,Annual,2021,,12198.4,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CAN,Canada,EXPBSNS,Exports by business size,250MORE_EMPLOYEE,250 or more employees,MLN_USD,Million US dollars,A,Annual,2021,,302468,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,BEL,Belgium,EXPBSNS,Exports by business size,10_49_EMPLOYEE,10-49 employees,MLN_USD,Million US dollars,A,Annual,2021,,34531,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,AUT,Austria,EXPBSNS,Exports by business size,10_49_EMPLOYEE,10-49 employees,MLN_USD,Million US dollars,A,Annual,2021,,17971.6,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SVN,Slovenia,EXPBSNS,Exports by business size,ALLSIZE,All sizes,MLN_USD,Million US dollars,A,Annual,2021,,42870,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,FRA,France,EXPBSNS,Exports by business size,ALLSIZE,All sizes,MLN_USD,Million US dollars,A,Annual,2021,,482287,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CZE,Czechia,EXPBSNS,Exports by business size,ALLSIZE,All sizes,MLN_USD,Million US dollars,A,Annual,2021,,145289,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,USA,United States,EXPBSNS,Exports by business size,250MORE_EMPLOYEE,250 or more employees,MLN_USD,Million US dollars,A,Annual,2009,,665882,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,USA,United States,EXPBSNS,Exports by business size,0_9_EMPLOYEE,0-9 employees,MLN_USD,Million US dollars,A,Annual,2009,,127616,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,TUR,Türkiye,EXPBSNS,Exports by business size,50_249_EMPLOYEE,50-249 employees,MLN_USD,Million US dollars,A,Annual,2010,,21752.1,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SVK,Slovak Republic,EXPBSNS,Exports by business size,0_9_EMPLOYEE,0-9 employees,MLN_USD,Million US dollars,A,Annual,2010,,4705.27,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,NOR,Norway,EXPBSNS,Exports by business size,ALLSIZE,All sizes,MLN_USD,Million US dollars,A,Annual,2010,,135289,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,USA,United States,EXPBSNS,Exports by business size,ALLSIZE,All sizes,MLN_USD,Million US dollars,A,Annual,2010,,1137630,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,MEX,Mexico,EXPBSNS,Exports by business size,ALLSIZE,All sizes,MLN_USD,Million US dollars,A,Annual,2012,,265708,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GBR,United Kingdom,EXPBSNS,Exports by business size,50_249_EMPLOYEE,50-249 employees,MLN_USD,Million US dollars,A,Annual,2012,,65302.1,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,TUR,Türkiye,EXPBSNS,Exports by business size,0_9_EMPLOYEE,0-9 employees,MLN_USD,Million US dollars,A,Annual,2012,,31375.9,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,MEX,Mexico,EXPBSNS,Exports by business size,250MORE_EMPLOYEE,250 or more employees,MLN_USD,Million US dollars,A,Annual,2012,,247812,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,EXPBSNS,Exports by business size,250MORE_EMPLOYEE,250 or more employees,MLN_USD,Million US dollars,A,Annual,2012,,909003,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DNK,Denmark,EXPBSNS,Exports by business size,10_49_EMPLOYEE,10-49 employees,MLN_USD,Million US dollars,A,Annual,2012,,13925.1,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CAN,Canada,EXPBSNS,Exports by business size,250MORE_EMPLOYEE,250 or more employees,MLN_USD,Million US dollars,A,Annual,2012,,275436,,A,,,,,,,
